;Name;Director;Cast;Initial Release;Rating
23;The Silence of the Lambs;Jonathan Demme;Jodie Foster,  Anthony Hopkins;1991;8.6
24;It's a Wonderful Life;Frank Capra;James Stewart,  Donna Reed;1946;8.6
25;Star Wars;George Lucas;Mark Hamill,  Harrison Ford;1977;8.6
26;Saving Private Ryan;Steven Spielberg;Tom Hanks,  Matt Damon;1998;8.6
27;The Green Mile;Frank Darabont;Tom Hanks,  Michael Clarke Duncan;1999;8.5
28;Sen to Chihiro no kamikakushi;Hayao Miyazaki;Daveigh Chase,  Suzanne Pleshette;2001;8.5
29;Interstellar;Christopher Nolan;Matthew McConaughey,  Anne Hathaway;2014;8.5
30;Gisaengchung;Bong Joon Ho;Kang-ho Song,  Sun-kyun Lee;2019;8.5
31;Léon;Luc Besson;Jean Reno,  Gary Oldman;1994;8.5
32;Seppuku;Masaki Kobayashi;Tatsuya Nakadai,  Akira Ishihama;1962;8.5
33;The Usual Suspects;Bryan Singer;Kevin Spacey,  Gabriel Byrne;1995;8.5
34;The Lion King;Roger Allers;Matthew Broderick,  Jeremy Irons;1994;8.5
35;The Pianist;Roman Polanski;Adrien Brody,  Thomas Kretschmann;2002;8.5
36;Terminator 2: Judgment Day;James Cameron;Arnold Schwarzenegger,  Linda Hamilton;1991;8.5
37;Back to the Future;Robert Zemeckis;Michael J. Fox,  Christopher Lloyd;1985;8.5
38;American History X;Tony Kaye;Edward Norton,  Edward Furlong;1998;8.5
39;Modern Times;Charles Chaplin;Charles Chaplin,  Paulette Goddard;1936;8.5
40;Gladiator;Ridley Scott;Russell Crowe,  Joaquin Phoenix;2000;8.5
41;Psycho;Alfred Hitchcock;Anthony Perkins,  Janet Leigh;1960;8.5
42;The Departed;Martin Scorsese;Leonardo DiCaprio,  Matt Damon;2006;8.5
43;City Lights;Charles Chaplin;Charles Chaplin,  Virginia Cherrill;1931;8.5
44;The Intouchables;Olivier Nakache;François Cluzet,  Omar Sy;2011;8.5
45;Whiplash;Damien Chazelle;Miles Teller,  J.K. Simmons;2014;8.5
46;Hotaru no haka;Isao Takahata;Tsutomu Tatsumi,  Ayano Shiraishi;1988;8.5
47;The Prestige;Christopher Nolan;Christian Bale,  Hugh Jackman;2006;8.5
48;Once Upon a Time in the West;Sergio Leone;Henry Fonda,  Charles Bronson;1968;8.4
49;Casablanca;Michael Curtiz;Humphrey Bogart,  Ingrid Bergman;1942;8.4
50;Nuovo Cinema Paradiso;Giuseppe Tornatore;Philippe Noiret,  Enzo Cannavale;1988;8.4
51;Rear Window;Alfred Hitchcock;James Stewart,  Grace Kelly;1954;8.4
52;Alien;Ridley Scott;Sigourney Weaver,  Tom Skerritt;1979;8.4
53;Apocalypse Now;Francis Ford Coppola;Martin Sheen,  Marlon Brando;1979;8.4
54;Memento;Christopher Nolan;Guy Pearce,  Carrie-Anne Moss;2000;8.4
55;The Great Dictator;Charles Chaplin;Charles Chaplin,  Paulette Goddard;1940;8.4
56;Raiders of the Lost Ark;Steven Spielberg;Harrison Ford,  Karen Allen;1981;8.4
57;Django Unchained;Quentin Tarantino;Jamie Foxx,  Christoph Waltz;2012;8.4
58;The Lives of Others;Florian Henckel von Donnersmarck;Ulrich Mühe,  Martina Gedeck;2006;8.4
59;Hamilton;Thomas Kail;Lin-Manuel Miranda,  Phillipa Soo;2020;8.4
60;Paths of Glory;Stanley Kubrick;Kirk Douglas,  Ralph Meeker;1957;8.4
61;WALL·E;Andrew Stanton;Ben Burtt,  Elissa Knight;2008;8.4
62;Joker;Todd Phillips;Joaquin Phoenix,  Robert De Niro;2019;8.4
63;The Shining;Stanley Kubrick;Jack Nicholson,  Shelley Duvall;1980;8.4
64;Avengers: Infinity War;Anthony Russo;Robert Downey Jr.,  Chris Hemsworth;2018;8.4
65;Sunset Blvd.;Billy Wilder;William Holden,  Gloria Swanson;1950;8.4
66;Witness for the Prosecution;Billy Wilder;Tyrone Power,  Marlene Dietrich;1957;8.4
67;Oldeuboi;Chan-wook Park;Choi Min-sik,  Yoo Ji-Tae;2003;8.3
68;Spider-Man: Into the Spider-Verse;Bob Persichetti;Shameik Moore,  Jake Johnson;2018;8.3
69;Mononoke-hime;Hayao Miyazaki;Yôji Matsuda,  Yuriko Ishida;1997;8.3
70;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;Stanley Kubrick;Peter Sellers,  George C. Scott;1964;8.3
71;The Dark Knight Rises;Christopher Nolan;Christian Bale,  Tom Hardy;2012;8.3
72;Once Upon a Time in America;Sergio Leone;Robert De Niro,  James Woods;1984;8.3
73;Kimi no na wa.;Makoto Shinkai;Ryûnosuke Kamiki,  Mone Kamishiraishi;2016;8.3
74;Aliens;James Cameron;Sigourney Weaver,  Michael Biehn;1986;8.3
75;Coco;Lee Unkrich;Anthony Gonzalez,  Gael García Bernal;2017;8.3
76;Avengers: Endgame;Anthony Russo;Robert Downey Jr.,  Chris Evans;2019;8.3
77;Capharnaüm;Nadine Labaki;Zain Al Rafeea,  Yordanos Shiferaw;2018;8.3
78;American Beauty;Sam Mendes;Kevin Spacey,  Annette Bening;1999;8.3
79;Braveheart;Mel Gibson;Mel Gibson,  Sophie Marceau;1995;8.3
80;Tengoku to jigoku;Akira Kurosawa;Toshirô Mifune,  Yutaka Sada;1963;8.3
81;Das Boot;Wolfgang Petersen;Jürgen Prochnow,  Herbert Grönemeyer;1981;8.3
82;Toy Story;John Lasseter;Tom Hanks,  Tim Allen;1995;8.3
83;3 Idiots;Rajkumar Hirani;Aamir Khan,  Madhavan;2009;8.3
84;Amadeus;Milos Forman;F. Murray Abraham,  Tom Hulce;1984;8.3
85;Inglourious Basterds;Quentin Tarantino;Brad Pitt,  Diane Kruger;2009;8.3
86;Good Will Hunting;Gus Van Sant;Robin Williams,  Matt Damon;1997;8.3
87;Star Wars: Episode VI - Return of the Jedi;Richard Marquand;Mark Hamill,  Harrison Ford;1983;8.3
88;Taare Zameen Par;Aamir Khan;Darsheel Safary,  Aamir Khan;2007;8.3
89;Reservoir Dogs;Quentin Tarantino;Harvey Keitel,  Tim Roth;1992;8.3
90;2001: A Space Odyssey;Stanley Kubrick;Keir Dullea,  Gary Lockwood;1968;8.3
91;Requiem for a Dream;Darren Aronofsky;Ellen Burstyn,  Jared Leto;2000;8.3
92;Jagten;Thomas Vinterberg;Mads Mikkelsen,  Thomas Bo Larsen;2012;8.3
93;Vertigo;Alfred Hitchcock;James Stewart,  Kim Novak;1958;8.3
94;M - Eine Stadt sucht einen Mörder;Fritz Lang;Peter Lorre,  Ellen Widmann;1931;8.3
95;Eternal Sunshine of the Spotless Mind;Michel Gondry;Jim Carrey,  Kate Winslet;2004;8.3
96;Citizen Kane;Orson Welles;Orson Welles,  Joseph Cotten;1941;8.3
97;Dangal;Nitesh Tiwari;Aamir Khan,  Sakshi Tanwar;2016;8.3
98;Singin' in the Rain;Stanley Donen;Gene Kelly,  Donald O'Connor;1952;8.2
99;The Kid;Charles Chaplin;Charles Chaplin,  Edna Purviance;1921;8.2
100;Ladri di biciclette;Vittorio De Sica;Lamberto Maggiorani,  Enzo Staiola;1948;8.2
101;Full Metal Jacket;Stanley Kubrick;Matthew Modine,  R. Lee Ermey;1987;8.2
102;Idi i smotri;Elem Klimov;Aleksey Kravchenko,  Olga Mironova;1985;8.2
103;Ikiru;Akira Kurosawa;Takashi Shimura,  Nobuo Kaneko;1952;8.2
104;Snatch;Guy Ritchie;Jason Statham,  Brad Pitt;2000;8.2
105;North by Northwest;Alfred Hitchcock;Cary Grant,  Eva Marie Saint;1959;8.2
106;Scarface;Brian De Palma;Al Pacino,  Michelle Pfeiffer;1983;8.2
107;A Clockwork Orange;Stanley Kubrick;Malcolm McDowell,  Patrick Magee;1971;8.2
108;1917;Sam Mendes;Dean-Charles Chapman,  George MacKay;2019;8.2
109;Taxi Driver;Martin Scorsese;Robert De Niro,  Jodie Foster;1976;8.2
110;Incendies;Denis Villeneuve;Lubna Azabal,  Mélissa Désormeaux-Poulin;2010;8.2
111;Jodaeiye Nader az Simin;Asghar Farhadi;Payman Maadi,  Leila Hatami;2011;8.2
112;Toy Story 3;Lee Unkrich;Tom Hanks,  Tim Allen;2010;8.2
113;The Sting;George Roy Hill;Paul Newman,  Robert Redford;1973;8.2
114;Lawrence of Arabia;David Lean;Peter O'Toole,  Alec Guinness;1962;8.2
115;Amélie;Jean-Pierre Jeunet;Audrey Tautou,  Mathieu Kassovitz;2001;8.2
116;Metropolis;Fritz Lang;Brigitte Helm,  Alfred Abel;1927;8.2
117;The Apartment;Billy Wilder;Jack Lemmon,  Shirley MacLaine;1960;8.2
118;Per qualche dollaro in più;Sergio Leone;Clint Eastwood,  Lee Van Cleef;1965;8.2
119;Double Indemnity;Billy Wilder;Fred MacMurray,  Barbara Stanwyck;1944;8.2
120;To Kill a Mockingbird;Robert Mulligan;Gregory Peck,  John Megna;1962;8.2
121;Up;Pete Docter;Edward Asner,  Jordan Nagai;2009;8.2
122;Indiana Jones and the Last Crusade;Steven Spielberg;Harrison Ford,  Sean Connery;1989;8.2
123;Heat;Michael Mann;Al Pacino,  Robert De Niro;1995;8.2
124;L.A. Confidential;Curtis Hanson;Kevin Spacey,  Russell Crowe;1997;8.2
125;Green Book;Peter Farrelly;Viggo Mortensen,  Mahershala Ali;2018;8.2
126;Die Hard;John McTiernan;Bruce Willis,  Alan Rickman;1988;8.2
127;Batman Begins;Christopher Nolan;Christian Bale,  Michael Caine;2005;8.2
128;Yojinbo;Akira Kurosawa;Toshirô Mifune,  Eijirô Tôno;1961;8.2
129;Monty Python and the Holy Grail;Terry Gilliam;Graham Chapman,  John Cleese;1975;8.2
130;Rashômon;Akira Kurosawa;Toshirô Mifune,  Machiko Kyô;1950;8.2
131;Der Untergang;Oliver Hirschbiegel;Bruno Ganz,  Alexandra Maria Lara;2004;8.2
132;Bacheha-Ye aseman;Majid Majidi;Mohammad Amir Naji,  Amir Farrokh Hashemian;1997;8.2
133;Ran;Akira Kurosawa;Tatsuya Nakadai,  Akira Terao;1985;8.2
134;Unforgiven;Clint Eastwood;Clint Eastwood,  Gene Hackman;1992;8.2
135;Some Like It Hot;Billy Wilder;Marilyn Monroe,  Tony Curtis;1959;8.2
136;Hauru no ugoku shiro;Hayao Miyazaki;Chieko Baishô,  Takuya Kimura;2004;8.2
137;All About Eve;Joseph L. Mankiewicz;Bette Davis,  Anne Baxter;1950;8.2
138;Casino;Martin Scorsese;Robert De Niro,  Sharon Stone;1995;8.2
139;A Beautiful Mind;Ron Howard;Russell Crowe,  Ed Harris;2001;8.2
140;The Wolf of Wall Street;Martin Scorsese;Leonardo DiCaprio,  Jonah Hill;2013;8.2
141;The Great Escape;John Sturges;Steve McQueen,  James Garner;1963;8.2
142;Pan's Labyrinth;Guillermo del Toro;Ivana Baquero,  Ariadna Gil;2006;8.2
143;There Will Be Blood;Paul Thomas Anderson;Daniel Day-Lewis,  Paul Dano;2007;8.1
144;El secreto de sus ojos;Juan José Campanella;Ricardo Darín,  Soledad Villamil;2009;8.1
145;Lock, Stock and Two Smoking Barrels;Guy Ritchie;Jason Flemyng,  Dexter Fletcher;1998;8.1
146;Judgment at Nuremberg;Stanley Kramer;Spencer Tracy,  Burt Lancaster;1961;8.1
147;Raging Bull;Martin Scorsese;Robert De Niro,  Cathy Moriarty;1980;8.1
148;Tonari no Totoro;Hayao Miyazaki;Hitoshi Takagi,  Noriko Hidaka;1988;8.1
149;The Treasure of the Sierra Madre;John Huston;Humphrey Bogart,  Walter Huston;1948;8.1
150;Dial M for Murder;Alfred Hitchcock;Ray Milland,  Grace Kelly;1954;8.1
151;Shutter Island;Martin Scorsese;Leonardo DiCaprio,  Emily Mortimer;2010;8.1
152;Three Billboards Outside Ebbing, Missouri;Martin McDonagh;Frances McDormand,  Woody Harrelson;2017;8.1
153;The Gold Rush;Charles Chaplin;Charles Chaplin,  Mack Swain;1925;8.1
154;Chinatown;Roman Polanski;Jack Nicholson,  Faye Dunaway;1974;8.1
155;Babam ve Oglum;Çagan Irmak;Eser Sariyar,  Çetin Tekindor;2005;8.1
156;No Country for Old Men;Ethan Coen;Tommy Lee Jones,  Javier Bardem;2007;8.1
157;V for Vendetta;James McTeigue;Hugo Weaving,  Natalie Portman;2005;8.1
158;Inside Out;Pete Docter;Amy Poehler,  Bill Hader;2015;8.1
159;The Thing;John Carpenter;Kurt Russell,  Wilford Brimley;1982;8.1
160;The Elephant Man;David Lynch;Anthony Hopkins,  John Hurt;1980;8.1
161;Det sjunde inseglet;Ingmar Bergman;Max von Sydow,  Gunnar Björnstrand;1957;8.1
162;The Sixth Sense;M. Night Shyamalan;Bruce Willis,  Haley Joel Osment;1999;8.1
163;Warrior;Gavin O'Connor;Tom Hardy,  Nick Nolte;2011;8.1
164;Jurassic Park;Steven Spielberg;Sam Neill,  Laura Dern;1993;8.1
165;Klaus;Sergio Pablos;Jason Schwartzman,  J.K. Simmons;2019;8.1
166;Trainspotting;Danny Boyle;Ewan McGregor,  Ewen Bremner;1996;8.1
167;The Truman Show;Peter Weir;Jim Carrey,  Ed Harris;1998;8.1
168;Zack Snyder's Justice League;Zack Snyder;Henry Cavill,  Ben Affleck;2021;8.1
169;Gone with the Wind;Victor Fleming;Clark Gable,  Vivien Leigh;1939;8.1
170;Finding Nemo;Andrew Stanton;Albert Brooks,  Ellen DeGeneres;2003;8.1
171;Stalker;Andrei Tarkovsky;Alisa Freyndlikh,  Aleksandr Kaydanovskiy;1979;8.1
172;Smultronstället;Ingmar Bergman;Victor Sjöström,  Bibi Andersson;1957;8.1
173;Salinui chueok;Bong Joon Ho;Kang-ho Song,  Kim Sang-kyung;2003;8.1
174;Kill Bill: Vol. 1;Quentin Tarantino;Uma Thurman,  David Carradine;2003;8.1
175;Blade Runner;Ridley Scott;Harrison Ford,  Rutger Hauer;1982;8.1
176;The Bridge on the River Kwai;David Lean;William Holden,  Alec Guinness;1957;8.1
177;Fargo;Joel Coen;William H. Macy,  Frances McDormand;1996;8.1
178;Relatos salvajes;Damián Szifron;Darío Grandinetti,  María Marull;2014;8.1
179;Room;Lenny Abrahamson;Brie Larson,  Jacob Tremblay;2015;8.1
180;Tôkyô monogatari;Yasujirô Ozu;Chishû Ryû,  Chieko Higashiyama;1953;8.1
181;Gran Torino;Clint Eastwood;Clint Eastwood,  Bee Vang;2008;8.1
182;The Third Man;Carol Reed;Orson Welles,  Joseph Cotten;1949;8.1
183;On the Waterfront;Elia Kazan;Marlon Brando,  Karl Malden;1954;8.1
184;The Deer Hunter;Michael Cimino;Robert De Niro,  Christopher Walken;1978;8.1
185;In the Name of the Father;Jim Sheridan;Daniel Day-Lewis,  Pete Postlethwaite;1993;8.1
186;Mary and Max;Adam Elliot;Toni Collette,  Philip Seymour Hoffman;2009;8.1
187;Before Sunrise;Richard Linklater;Ethan Hawke,  Julie Delpy;1995;8.1
188;The Grand Budapest Hotel;Wes Anderson;Ralph Fiennes,  F. Murray Abraham;2014;8.1
189;Catch Me If You Can;Steven Spielberg;Leonardo DiCaprio,  Tom Hanks;2002;8.1
190;Gone Girl;David Fincher;Ben Affleck,  Rosamund Pike;2014;8.1
191;Hacksaw Ridge;Mel Gibson;Andrew Garfield,  Sam Worthington;2016;8.1
192;Prisoners;Denis Villeneuve;Hugh Jackman,  Jake Gyllenhaal;2013;8.1
193;Persona;Ingmar Bergman;Bibi Andersson,  Liv Ullmann;1966;8.1
194;Andhadhun;Sriram Raghavan;Ayushmann Khurrana,  Tabu;2018;8.1
195;Sherlock Jr.;Buster Keaton;Buster Keaton,  Kathryn McGuire;1924;8.1
196;The Big Lebowski;Joel Coen;Jeff Bridges,  John Goodman;1998;8.1
197;To Be or Not to Be;Ernst Lubitsch;Carole Lombard,  Jack Benny;1942;8.1
198;Barry Lyndon;Stanley Kubrick;Ryan O'Neal,  Marisa Berenson;1975;8.1
199;The General;Clyde Bruckman;Buster Keaton,  Marion Mack;1926;8.1
200;Ford v Ferrari;James Mangold;Matt Damon,  Christian Bale;2019;8.1
201;How to Train Your Dragon;Dean DeBlois;Jay Baruchel,  Gerard Butler;2010;8.1
202;12 Years a Slave;Steve McQueen;Chiwetel Ejiofor,  Michael Kenneth Williams;2013;8.1
203;Eskiya;Yavuz Turgul;Sener Sen,  Ugur Yücel;1996;8.1
204;Höstsonaten;Ingmar Bergman;Ingrid Bergman,  Liv Ullmann;1978;8.1
205;Mr. Smith Goes to Washington;Frank Capra;James Stewart,  Jean Arthur;1939;8.1
206;Mad Max: Fury Road;George Miller;Tom Hardy,  Charlize Theron;2015;8.1
207;Anand;Hrishikesh Mukherjee;Rajesh Khanna,  Amitabh Bachchan;1971;8.1
208;Dead Poets Society;Peter Weir;Robin Williams,  Robert Sean Leonard;1989;8.1
209;Million Dollar Baby;Clint Eastwood;Hilary Swank,  Clint Eastwood;2004;8.1
210;Harry Potter and the Deathly Hallows: Part 2;David Yates;Daniel Radcliffe,  Emma Watson;2011;8.1
211;Stand by Me;Rob Reiner;Wil Wheaton,  River Phoenix;1986;8.1
212;Network;Sidney Lumet;Faye Dunaway,  William Holden;1976;8.1
213;Ben-Hur;William Wyler;Charlton Heston,  Jack Hawkins;1959;8.1
214;Hachi: A Dog's Tale;Lasse Hallström;Richard Gere,  Joan Allen;2009;8.1
215;Ah-ga-ssi;Chan-wook Park;Kim Min-hee,  Jung-woo Ha;2016;8.1
216;Cool Hand Luke;Stuart Rosenberg;Paul Newman,  George Kennedy;1967;8.1
217;Logan;James Mangold;Hugh Jackman,  Patrick Stewart;2017;8.1
218;Platoon;Oliver Stone;Charlie Sheen,  Tom Berenger;1986;8.0
219;Le salaire de la peur;Henri-Georges Clouzot;Yves Montand,  Charles Vanel;1953;8.0
220;Into the Wild;Sean Penn;Emile Hirsch,  Vince Vaughn;2007;8.0
221;Rush;Ron Howard;Daniel Brühl,  Chris Hemsworth;2013;8.0
222;La haine;Mathieu Kassovitz;Vincent Cassel,  Hubert Koundé;1995;8.0
223;Les quatre cents coups;François Truffaut;Jean-Pierre Léaud,  Albert Rémy;1959;8.0
224;Life of Brian;Terry Jones;Graham Chapman,  John Cleese;1979;8.0
225;La passion de Jeanne d'Arc;Carl Theodor Dreyer;Maria Falconetti,  Eugene Silvain;1928;8.0
226;Spotlight;Tom McCarthy;Mark Ruffalo,  Michael Keaton;2015;8.0
227;Ratsasan;Ram Kumar;Vishnu Vishal,  Amala Paul;2018;8.0
228;Hotel Rwanda;Terry George;Don Cheadle,  Sophie Okonedo;2004;8.0
229;Gangs of Wasseypur;Anurag Kashyap;Manoj Bajpayee,  Richa Chadha;2012;8.0
230;Amores perros;Alejandro G. Iñárritu;Emilio Echevarría,  Gael García Bernal;2000;8.0
231;Soul;Pete Docter;Jamie Foxx,  Tina Fey;2020;8.0
232;Andrei Rublev;Andrei Tarkovsky;Anatoliy Solonitsyn,  Ivan Lapikov;1966;8.0
233;Monsters, Inc.;Pete Docter;Billy Crystal,  John Goodman;2001;8.0
234;Rocky;John G. Avildsen;Sylvester Stallone,  Talia Shire;1976;8.0
235;Kaze no tani no Naushika;Hayao Miyazaki;Sumi Shimamoto,  Mahito Tsujimura;1984;8.0
236;Rebecca;Alfred Hitchcock;Laurence Olivier,  Joan Fontaine;1940;8.0
237;Dom za vesanje;Emir Kusturica;Davor Dujmovic,  Bora Todorovic;1988;8.0
238;Before Sunset;Richard Linklater;Ethan Hawke,  Julie Delpy;2004;8.0
239;Fa yeung nin wah;Kar-Wai Wong;Tony Chiu-Wai Leung,  Maggie Cheung;2000;8.0
240;Du rififi chez les hommes;Jules Dassin;Jean Servais,  Carl Möhner;1955;8.0
241;Rang De Basanti;Rakeysh Omprakash Mehra;Aamir Khan,  Soha Ali Khan;2006;8.0
242;Paris, Texas;Wim Wenders;Harry Dean Stanton,  Nastassja Kinski;1984;8.0
243;Drishyam;Jeethu Joseph;Mohanlal,  Meena;2013;8.0
244;Portrait de la jeune fille en feu;Céline Sciamma;Noémie Merlant,  Adèle Haenel;2019;8.0
245;It Happened One Night;Frank Capra;Clark Gable,  Claudette Colbert;1934;8.0
246;Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni;Hideaki Anno;Megumi Ogata,  Megumi Hayashibara;1997;8.0
247;Mandariinid;Zaza Urushadze;Lembit Ulfsak,  Elmo Nüganen;2013;8.0
248;Koe no katachi;Naoko Yamada;Miyu Irino,  Saori Hayami;2016;8.0
249;Drishyam;Nishikant Kamat;Ajay Devgn,  Shriya Saran;2015;8.0
250;La battaglia di Algeri;Gillo Pontecorvo;Brahim Hadjadj,  Jean Martin;1966;8.0
